Nº,Nome Completo,CPF,Data de Nascimento,Email,CEP,Número
1,Helena Ribeiro da Silva,847.192.508-37,1988-07-15,helena.silva@gmail.com,04538-132,455
2,Miguel Pereira Santos,365.918.472-40,1995-02-21,miguel.santos@hotmail.com,22290-160,1204
3,Alice Costa Oliveira,591.827.364-51,2003-11-30,alice.oliveira@uol.com.br,74080-010,33
4,Arthur Souza Lima,273.645.918-63,1981-05-12,arthur.lima@yahoo.com.br,51020-000,2109
5,Laura Gomes Rodrigues,482.736.591-74,2009-09-01,laura.rodrigues@outlook.com,90010-281,780
6,Heitor Ferreira Alves,619.582.734-88,1999-01-25,heitor.alves@terra.com.br,30130-141,155
7,Manuela Martins Carvalho,736.491.825-96,1985-03-18,manuela.carvalho@protonmail.com,40026-035,98
8,Bernardo Barros Correia,192.837.465-09,1992-06-07,bernardo.correia@globomail.com,88015-420,234
9,Sophia Azevedo Rocha,918.273.645-12,2005-08-14,sophia.rocha@gmail.com,09750-730,1121
10,Davi Pinto Cardoso,827.364.591-23,1980-12-03,davi.cardoso@hotmail.com,13025-151,800
11,Isabella Nunes Dias,364.591.827-34,2010-04-22,isabella.dias@uol.com.br,71939-540,45
12,Théo Mendes Castro,591.827.364-45,1997-07-19,theo.castro@yahoo.com.br,20551-030,1982
13,Valentina Barbosa Moraes,273.645.918-56,1983-10-05,valentina.moraes@outlook.com,60175-045,345
14,Gabriel Ramos Pires,482.736.591-67,2001-02-11,gabriel.pires@terra.com.br,80420-080,111
15,Heloísa Sousa Farias,619.582.734-78,1990-11-28,heloisa.farias@protonmail.com,01415-000,567
16,Lorenzo Ribeiro da Silva,736.491.825-89,1986-08-17,lorenzo.silva@globomail.com,29101-120,78
17,Maria Júlia Pereira Santos,192.837.465-90,2008-01-09,maria.santos@gmail.com,58037-050,901
18,Samuel Costa Oliveira,918.273.645-01,1994-04-02,samuel.oliveira@hotmail.com,79040-060,23
19,Lívia Souza Lima,827.364.591-12,1982-09-23,livia.lima@uol.com.br,14021-615,1450
20,Benjamin Gomes Rodrigues,364.591.827-23,2006-06-16,benjamin.rodrigues@yahoo.com.br,95670-000,321
21,Giovanna Ferreira Alves,591.827.364-34,1996-03-08,giovanna.alves@outlook.com,49035-190,555
22,Matheus Martins Carvalho,273.645.918-45,1989-05-31,matheus.carvalho@terra.com.br,38408-100,678
23,Maria Luiza Barros Correia,482.736.591-56,2000-07-24,maria.correia@protonmail.com,69057-070,910
24,Lucas Azevedo Rocha,619.582.734-67,1991-10-13,lucas.rocha@globomail.com,77021-090,112
25,Beatriz Pinto Cardoso,736.491.825-78,1984-01-06,beatriz.cardoso@gmail.com,12245-031,1314
26,Nicolas Nunes Dias,192.837.465-89,2004-12-19,nicolas.dias@hotmail.com,88036-000,1516
27,Mariana Mendes Castro,918.273.645-90,1993-02-27,mariana.castro@uol.com.br,24220-300,1718
28,Guilherme Barbosa Moraes,827.364.591-01,2002-05-15,guilherme.moraes@yahoo.com.br,66055-260,1920
29,Cecília Ramos Pires,364.591.827-12,1987-08-04,cecilia.pires@outlook.com,01311-000,2122
30,Pedro Sousa Farias,591.827.364-23,2007-11-11,pedro.farias@terra.com.br,41720-040,2324
31,Lorena Ribeiro da Silva,273.645.918-34,1998-03-20,lorena.silva@protonmail.com,30112-010,25
32,Rafael Pereira Santos,482.736.591-45,1980-06-29,rafael.santos@globomail.com,89201-600,27
