id_cliente,nome_completo,cpf_cnpj,email,telefone,data_nascimento,data_cadastro
1,Cliente Nome 1,00000000001,cliente1@emailaleatorio.com,11900000001,,2025-07-24 17:49:55
2,Cliente Nome 2,00000000002,cliente2@emailaleatorio.com,11900000002,,2025-07-24 17:49:55
3,Cliente Nome 3,00000000003,cliente3@emailaleatorio.com,11900000003,,2025-07-24 17:49:55
4,Cliente Nome 4,00000000004,cliente4@emailaleatorio.com,11900000004,,2025-07-24 17:49:55
5,Cliente Nome 5,00000000005,cliente5@emailaleatorio.com,11900000005,,2025-07-24 17:49:55
6,Cliente Nome 6,00000000006,cliente6@emailaleatorio.com,11900000006,,2025-07-24 17:49:55
7,Cliente Nome 7,00000000007,cliente7@emailaleatorio.com,11900000007,,2025-07-24 17:49:55
8,Cliente Nome 8,00000000008,cliente8@emailaleatorio.com,11900000008,,2025-07-24 17:49:55
9,Cliente Nome 9,00000000009,cliente9@emailaleatorio.com,11900000009,,2025-07-24 17:49:55
10,Cliente Nome 10,00000000010,cliente10@emailaleatorio.com,11900000010,,2025-07-24 17:49:55
11,Cliente Nome 11,00000000011,cliente11@emailaleatorio.com,11900000011,,2025-07-24 17:49:55
12,Cliente Nome 12,00000000012,cliente12@emailaleatorio.com,11900000012,,2025-07-24 17:49:55
13,Cliente Nome 13,00000000013,cliente13@emailaleatorio.com,11900000013,,2025-07-24 17:49:55
14,Cliente Nome 14,00000000014,cliente14@emailaleatorio.com,11900000014,,2025-07-24 17:49:55
15,Cliente Nome 15,00000000015,cliente15@emailaleatorio.com,11900000015,,2025-07-24 17:49:55
16,Cliente Nome 16,00000000016,cliente16@emailaleatorio.com,11900000016,,2025-07-24 17:49:55
17,Cliente Nome 17,00000000017,cliente17@emailaleatorio.com,11900000017,,2025-07-24 17:49:55
18,Cliente Nome 18,00000000018,cliente18@emailaleatorio.com,11900000018,,2025-07-24 17:49:55
19,Cliente Nome 19,00000000019,cliente19@emailaleatorio.com,11900000019,,2025-07-24 17:49:55
20,Cliente Nome 20,00000000020,cliente20@emailaleatorio.com,11900000020,,2025-07-24 17:49:55
21,Cliente Nome 21,00000000021,cliente21@emailaleatorio.com,11900000021,,2025-07-24 17:49:55
22,Cliente Nome 22,00000000022,cliente22@emailaleatorio.com,11900000022,,2025-07-24 17:49:55
23,Cliente Nome 23,00000000023,cliente23@emailaleatorio.com,11900000023,,2025-07-24 17:49:55
24,Cliente Nome 24,00000000024,cliente24@emailaleatorio.com,11900000024,,2025-07-24 17:49:55
25,Cliente Nome 25,00000000025,cliente25@emailaleatorio.com,11900000025,,2025-07-24 17:49:55
26,Cliente Nome 26,00000000026,cliente26@emailaleatorio.com,11900000026,,2025-07-24 17:49:55
27,Cliente Nome 27,00000000027,cliente27@emailaleatorio.com,11900000027,,2025-07-24 17:49:55
28,Cliente Nome 28,00000000028,cliente28@emailaleatorio.com,11900000028,,2025-07-24 17:49:55
29,Cliente Nome 29,00000000029,cliente29@emailaleatorio.com,11900000029,,2025-07-24 17:49:55
30,Cliente Nome 30,00000000030,cliente30@emailaleatorio.com,11900000030,,2025-07-24 17:49:55
31,Cliente Nome 31,00000000031,cliente31@emailaleatorio.com,11900000031,,2025-07-24 17:49:55
32,Cliente Nome 32,00000000032,cliente32@emailaleatorio.com,11900000032,,2025-07-24 17:49:55
33,Cliente Nome 33,00000000033,cliente33@emailaleatorio.com,11900000033,,2025-07-24 17:49:55
34,Cliente Nome 34,00000000034,cliente34@emailaleatorio.com,11900000034,,2025-07-24 17:49:55
35,Cliente Nome 35,00000000035,cliente35@emailaleatorio.com,11900000035,,2025-07-24 17:49:55
36,Cliente Nome 36,00000000036,cliente36@emailaleatorio.com,11900000036,,2025-07-24 17:49:55
37,Cliente Nome 37,00000000037,cliente37@emailaleatorio.com,11900000037,,2025-07-24 17:49:55
